experiment,operation,label,metadata_entries,file_size_bytes,chunk_size_bytes,clients,samples,successes,failures,p50_ms,p95_ms,p99_ms,mean_ms,throughput_ops_s,throughput_mib_s
metadata,snapshot,rpc,0,,,,30,30,0,0.440541,0.719708,0.739208,0.471180,2122.329067,0.000000
metadata,list_root,rpc,0,,,,30,30,0,0.397875,0.445750,0.446791,0.385208,2595.998511,0.000000
metadata,mkdir_growing_log,rpc,5,,,,30,30,0,0.691291,0.732208,0.741708,0.693701,1441.542497,0.000000
metadata,snapshot,rpc,100,,,,30,30,0,0.546000,0.773500,0.823125,0.578257,1729.334781,0.000000
metadata,list_root,rpc,100,,,,30,30,0,0.537333,0.796875,0.812292,0.583663,1713.318717,0.000000
metadata,read_empty_file,rpc,100,,,,30,30,0,1.074000,1.380792,1.385583,1.144221,873.957194,0.000000
metadata,mkdir_growing_log,rpc,105,,,,30,30,0,0.922709,1.206625,1.267041,0.966463,1034.701223,0.000000
metadata,snapshot,rpc,1000,,,,30,30,0,2.600291,2.746958,2.756333,2.623737,381.135704,0.000000
metadata,list_root,rpc,1000,,,,30,30,0,2.860375,3.074500,3.243875,2.859706,349.686353,0.000000
metadata,read_empty_file,rpc,1000,,,,30,30,0,4.969417,5.500375,5.642791,5.077863,196.933256,0.000000
metadata,mkdir_growing_log,rpc,1005,,,,30,30,0,3.120833,3.360542,3.372417,3.157326,316.723679,0.000000
metadata,snapshot,rpc,5000,,,,30,30,0,11.406167,11.887333,11.932500,11.460742,87.254387,0.000000
metadata,list_root,rpc,5000,,,,30,30,0,12.358208,12.796375,14.582250,12.430146,80.449579,0.000000
metadata,read_empty_file,rpc,5000,,,,30,30,0,23.994542,26.483958,34.646125,24.453744,40.893533,0.000000
metadata,mkdir_growing_log,rpc,5005,,,,30,30,0,12.366417,12.672250,12.748917,12.357300,80.923826,0.000000
metadata,snapshot,rpc,10000,,,,30,30,0,23.445458,23.821625,24.099667,23.361828,42.804870,0.000000
metadata,list_root,rpc,10000,,,,30,30,0,24.365459,24.706666,24.924667,24.377997,41.020597,0.000000
metadata,read_empty_file,rpc,10000,,,,30,30,0,47.461542,48.262916,49.294625,47.572001,21.020768,0.000000
metadata,mkdir_growing_log,rpc,10005,,,,30,30,0,24.002375,25.181250,33.836791,24.366619,41.039751,0.000000
file,write,rpc,,4096,65536,,30,30,0,1.111500,1.489041,1.584916,1.204222,830.411438,3.243795
file,read,rpc,,4096,65536,,30,30,0,24.075208,34.024833,61.098000,25.513839,39.194415,0.153103
file,write,rpc,,65536,65536,,30,30,0,1.242834,1.662375,1.674250,1.353493,738.829034,46.176815
file,read,rpc,,65536,65536,,30,30,0,62.181417,63.462708,64.195625,62.294378,16.052813,1.003301
file,write,rpc,,1048576,65536,,30,30,0,4.666708,5.191916,5.278750,4.687647,213.326633,213.326633
file,read,rpc,,1048576,65536,,30,30,0,186.642125,207.586042,217.864750,189.133547,5.287269,5.287269
file,write,rpc,,4096,1048576,,30,30,0,1.009667,1.087458,1.094833,1.018028,982.291543,3.837076
file,read,rpc,,4096,1048576,,30,30,0,24.380958,25.536166,25.553666,23.917272,41.810788,0.163323
file,write,rpc,,65536,1048576,,30,30,0,1.253583,1.704125,1.831541,1.383178,722.972853,45.185803
file,read,rpc,,65536,1048576,,30,30,0,80.340209,81.978958,87.614334,80.599633,12.407004,0.775438
file,write,rpc,,1048576,1048576,,30,30,0,4.763000,5.213000,5.335958,4.775817,209.388272,209.388272
file,read,rpc,,1048576,1048576,,30,30,0,340.613542,350.249375,350.500250,340.891496,2.933485,2.933485
concurrency,create_and_write_distinct,rpc,,4096,65536,1,30,30,0,2.507167,2.781625,2.817417,2.521531,395.370215,1.544415
concurrency,create_and_write_distinct,rpc,,4096,65536,2,60,60,0,3.587042,4.894459,5.047958,3.655371,527.445077,2.060332
concurrency,create_and_write_distinct,rpc,,4096,65536,4,120,120,0,7.637042,11.150083,12.527125,7.636567,482.654280,1.885368
concurrency,create_and_write_distinct,rpc,,4096,65536,8,240,240,0,18.290250,30.646625,32.699459,18.740350,383.280865,1.497191
concurrency,create_and_write_distinct,rpc,,4096,65536,16,480,480,0,51.281000,78.179584,88.439375,49.161221,279.571975,1.092078
